Fechas;01/11/16-27/11/16;28/11/16-22/12/16;23/03/17-30/04/17;23/12/16-04/01/17;30/01/17-22/03/17;05/01/17-29/01/17;
Estandar;105;84;84;110;94;85;
Economica;87;72;72;87,50;81;74;
